Country;MaxPeopleVaccinated
China;1310292000
India;1027416842
United States;270227181
Indonesia;203845350
Brazil;189643431
Pakistan;165567890
Bangladesh;151501985
Japan;104705133
Mexico;97179493
Nigeria;90416598
Vietnam;90272853
Russia;88819982
Philippines;82684774
Iran;65194977
Germany;64876299
Turkey;57941051
Thailand;57005497
Egypt;56907319
France;54677678
United Kingdom;53813491
Ethiopia;52489512
Italy;50920629
England;45417090
South Korea;44784499
Colombia;43012174
Argentina;41504830
Spain;41351234
Myanmar;40354937
Canada;34763194
Tanzania;34434933
Peru;30515103
Malaysia;28099534
Nepal;27804935
Saudi Arabia;27041364
Morocco;25020168
South Africa;24210953
Poland;22877041
Mozambique;22869646
Australia;22231907
Venezuela;22157232
Uzbekistan;22077238
Taiwan;21898175
Uganda;20033189
Chile;18088517
Afghanistan;17820309
Sri Lanka;17143761
Democratic Republic of Congo;17045721
Angola;16307216
Ukraine;15774300
Ecuador;15333873
Cambodia;15304762
Sudan;15207452
Kenya;14494372
Ghana;13864186
Cote d'Ivoire;13568372
Netherlands;12528359
Zambia;11711565
Iraq;11332925
Rwanda;10884714
Kazakhstan;10858101
Cuba;10768129
United Arab Emirates;9991089
Portugal;9789941
Belgium;9266457
Somalia;8972167
Guatemala;8933623
Romania;8187976
Greece;7936039
Algeria;7840131
Sweden;7775726
Guinea;7679918
Bolivia;7361008
Dominican Republic;7348978
Tunisia;7218871
Czechia;6976670
Hong Kong;6917237
Austria;6899873
Israel;6723119
Honduras;6596213
Belarus;6439812
Zimbabwe;6437808
Hungary;6420813
Nicaragua;6404524
Chad;6254729
Niger;6248483
Switzerland;6096911
Burkina Faso;6089089
Laos;5888649
Sierra Leone;5676123
Azerbaijan;5373253
Malawi;5368688
Tajikistan;5311967
Singapore;5160551
Jordan;4821579
Denmark;4758774
El Salvador;4652597
Costa Rica;4641899
Scotland;4549556
Finland;4524249
Mali;4354292
Norway;4346995
New Zealand;4301605
South Sudan;4262480
Ireland;4108837
Paraguay;3993938
Liberia;3903802
Cameroon;3701750
Benin;3697190
Panama;3533477
Kuwait;3457371
Turkmenistan;3359468
Serbia;3354075
Syria;3295630
Oman;3257365
Uruguay;3010161
Qatar;2852178
Lebanon;2740227
Madagascar;2710365
Senegal;2684696
Central African Republic;2600389
Slovakia;2595901
Wales;2592226
Croatia;2321704
Libya;2316327
Mongolia;2272965
Togo;2248264
Bulgaria;2108377
Mauritania;2103721
Palestine;2012767
Lithuania;1957180
Botswana;1951054
Kyrgyzstan;1730274
Georgia;1654504
Northern Ireland;1430694
Albania;1348396
Latvia;1346184
Slovenia;1265802
Bahrain;1241174
Mauritius;1123773
Armenia;1122646
Moldova;1108879
Yemen;1037766
Lesotho;1014073
Bosnia and Herzegovina;943394
Kosovo;906858
Timor;884194
Estonia;869398
Jamaica;859331
North Macedonia;854570
Trinidad and Tobago;753588
Guinea-Bissau;733271
Fiji;712025
Bhutan;699116
Congo;695760
Macao;679703
Gambia;674314
Cyprus;671193
Namibia;627107
Eswatini;526050
Haiti;521396
Guyana;495285
Luxembourg;481957
Malta;478806
Brunei;451149
Comoros;438825
Maldives;399308
Papua New Guinea;382020
Djibouti;372077
Cape Verde;356734
Solomon Islands;343821
Gabon;311244
Iceland;309770
Northern Cyprus;301673
Montenegro;292783
Equatorial Guinea;270109
Suriname;267820
Belize;258473
New Caledonia;192375
Samoa;191403
French Polynesia;190908
Vanuatu;176624
Bahamas;174810
Barbados;163846
Sao Tome and Principe;140256
Curacao;108601
Kiribati;100900
Aruba;90473
Seychelles;88520
Tonga;87342
Jersey;84365
Isle of Man;69560
Antigua and Barbuda;64290
Cayman Islands;62085
Saint Lucia;60140
Andorra;57912
Guernsey;54223
Bermuda;48554
Grenada;44241
Gibraltar;42175
Faeroe Islands;41715
Greenland;41227
Saint Vincent and the Grenadines;37532
Burundi;36909
Saint Kitts and Nevis;33794
Dominica;32995
Turks and Caicos Islands;32815
Sint Maarten (Dutch part);29788
Monaco;28875
Liechtenstein;26771
San Marino;26357
British Virgin Islands;19466
Bonaire Sint Eustatius and Saba;19109
Cook Islands;15112
Nauru;13106
Anguilla;10854
Tuvalu;9763
Wallis and Futuna;7150
Saint Helena;4361
Falkland Islands;2632
Tokelau;2203
Montserrat;2104
Niue;1638
Pitcairn;47
French Guiana;0
Mayotte;0
Eritrea;0
North Korea;0
Guam;0
Saint Pierre and Miquelon;0
Micronesia (country);0
Puerto Rico;0
Martinique;0
Saint Barthelemy;0
Northern Mariana Islands;0
Palau;0
Western Sahara;0
Guadeloupe;0
Marshall Islands;0
Saint Martin (French part);0
United States Virgin Islands;0
Vatican;0
Reunion;0
American Samoa;0
